name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrated,average,bayesaverage,ranks/rank,owned,averageweight,numweights
Heckmeck Deluxe,2018,2,7,30,30,30,8,7,8.28571,0,Not Ranked,2,0,0
King Arthur,2014,1,4,45,30,45,8,22,5.62273,0,Not Ranked,81,1.5,2
Kartel,2018,2,6,15,15,15,6,19,5.52632,0,Not Ranked,21,1,2
Sisyphos,1995,3,5,0,0,0,8,1,3,0,Not Ranked,15,0,0
Star Wars: Allianz der Rebellen,2016,2,4,30,30,30,7,4,4.45,0,Not Ranked,25,0,0
Picco Camillo,2005,2,6,15,15,15,4,6,6,0,Not Ranked,11,1.3333,3
Grimaffen,2010,2,6,20,10,20,4,18,5.52778,0,Not Ranked,18,1,3
Top,1994,2,3,0,0,0,0,1,4,0,Not Ranked,17,0,0
Mise: Kolonizace,2016,2,4,30,30,30,8,16,6.16875,0,Not Ranked,33,0,0
Spooky Wooky,2016,2,6,20,20,20,5,1,6,0,Not Ranked,9,0,0
Capt'n Sharky: Ab auf die Palme,2010,2,4,25,25,25,5,4,5.75,0,Not Ranked,11,0,0
Pairamid,2011,2,4,30,30,30,8,11,5.98182,0,Not Ranked,18,2.3333,3
Little Amadeus: Mein erstes Orchester,2006,2,5,15,15,15,5,6,6.16667,0,Not Ranked,18,0,0
Yakari: Geheime Botschaft,2012,2,4,15,15,15,4,7,5,0,Not Ranked,16,0,0
10 UP!,2014,2,2,20,10,20,8,2,5.45,0,Not Ranked,6,0,0
Kajko i Kokosz: Przygody Wojów,2015,2,5,20,20,20,8,22,6,0,Not Ranked,38,0,0
Gelini Catch Me!,2009,2,6,15,15,15,6,3,6,0,Not Ranked,15,1,1
Celebrity Throw Down!,0,3,8,0,0,0,14,6,6.41667,0,Not Ranked,22,0,0
Kto z Kim?,2013,3,8,30,30,30,8,39,5.08718,5.46717,14724,39,1,4
"1, 2, 3, Papagei!",2015,2,6,0,15,0,4,5,5.6,0,Not Ranked,11,1,1
Muumipeikon kalaretki,2016,2,4,15,15,15,3,11,4.27273,0,Not Ranked,11,0,0
SuDoku: Die Spielesammlung,2007,2,4,45,45,45,11,7,4.42857,0,Not Ranked,16,0,0
Schnell gelegt,2001,2,4,15,15,15,4,1,6,0,Not Ranked,10,0,0
Pummeleinhorn: Der Kekfe Marathon,2017,2,5,20,10,20,6,31,5.30968,5.48866,13767,67,1,1
Hopp Hopp,1999,2,4,20,20,20,6,8,4.75,0,Not Ranked,8,0,0
Liliput,2012,2,4,15,15,15,5,6,4.58333,0,Not Ranked,5,2,1
"Lernabenteuer Papier & Co., Was gehört wohin?",2005,1,4,20,20,20,5,0,0,0,Not Ranked,3,0,0
Ingenious Extreme,2017,1,4,45,30,45,8,8,7.125,0,Not Ranked,12,0,0
Wer war's? Das 2. Abenteuer: Mitbringspiel,2012,2,4,15,15,15,6,7,5.53571,0,Not Ranked,16,1,1
Nalle och hans vänner,2002,2,4,0,0,0,4,1,5,0,Not Ranked,4,0,0
Yamunda,2012,2,5,20,20,20,5,15,4.53333,0,Not Ranked,25,0,0
Lernabenteuer Tiere unserer Welt,2005,1,4,20,20,20,5,0,0,0,Not Ranked,2,0,0
"Keltis (with Neue Wege, Neue Ziele)",2012,2,4,30,30,30,10,54,7.26833,5.57639,Not Ranked,137,0,0
Ascot,1992,2,18,30,30,30,10,0,0,0,Not Ranked,7,0,0
Коммерсантъ.Деньги,2010,2,6,60,60,60,10,5,5.2,0,Not Ranked,6,0,0
Den färgglada clownen,2002,2,4,15,15,15,4,0,0,0,Not Ranked,1,0,0
Investopoly,1991,2,5,30,30,30,10,0,0,0,Not Ranked,6,0,0
Filly Butterfly: Sammle deine Funkelsteine,2015,2,4,0,0,0,4,4,4.25,0,Not Ranked,7,0,0
Was ist Was: Das Quizspiel,2009,2,5,30,30,30,8,8,5.9375,0,Not Ranked,18,0,0
Re,1994,2,2,15,15,15,0,3,5,0,Not Ranked,11,0,0
Mössens glada ostkalas!,2002,2,4,0,0,0,6,1,6.5,0,Not Ranked,2,0,0
Homo Pfifficus,1992,3,7,30,30,30,0,0,0,0,Not Ranked,10,0,0
Family Bingo,2014,2,6,40,40,40,6,5,4,0,Not Ranked,15,0,0
Sudoku: Verdrehte Blöcke,2006,1,4,15,15,15,8,5,4.5,0,Not Ranked,17,1,1
Verdrehte Sprichwörter,2008,3,6,45,45,45,14,3,6.33333,0,Not Ranked,8,0,0
Line Links,2014,1,4,0,0,0,8,8,5.25,0,Not Ranked,12,0,0
Dragon Master: BGG Convention Promo,2015,1,2,15,10,15,13,13,5.31538,0,Not Ranked,78,1,1
Wahltag,1994,2,4,0,0,0,0,1,3,0,Not Ranked,9,0,0
Powerplay,1991,2,2,20,20,20,8,0,0,0,Not Ranked,7,0,0
Benjamin Blümchen: als Zoodirektor,2002,2,4,30,30,30,5,0,0,0,Not Ranked,3,0,0
Sudoku: Verflixte Streifen,2006,1,4,10,10,10,0,4,3.5,0,Not Ranked,13,0,0
Size Matters,2005,2,6,0,0,0,8,1,5,0,Not Ranked,14,0,0
Фарт,2012,3,5,15,15,15,14,4,6,0,Not Ranked,11,0,0
Diamantenraub,2009,2,4,30,30,30,4,5,4.5,0,Not Ranked,10,1.5,2
Olympiade,1992,2,4,60,60,60,8,0,0,0,Not Ranked,6,0,0
Callisto,2015,2,4,30,15,30,7,16,6.8125,0,Not Ranked,36,1.5,2
Manga Kai,2018,4,10,10,10,10,8,1,3,0,Not Ranked,4,0,0
Irish Wolf,1992,3,4,15,15,15,8,4,5.5,0,Not Ranked,9,0,0
Jabba-Dabba-Dû!,2012,2,4,20,20,20,8,3,5.66667,0,Not Ranked,3,0,0
Brains Family: Burgen & Drachen,2018,2,4,30,15,30,8,4,5.5,0,Not Ranked,13,0,0
"Schlaf gut, kleiner Mondbär",2010,2,4,10,10,10,3,1,4,0,Not Ranked,3,0,0
Quattro,1994,2,2,20,20,20,10,2,2,0,Not Ranked,7,1,1
KrimsKrams Flohmarkt-Spiel,1998,2,5,10,10,10,4,1,4,0,Not Ranked,6,0,0
Linea,1992,2,2,20,20,20,10,0,0,0,Not Ranked,7,0,0
Regenbogenland,2008,2,4,15,15,15,4,0,0,0,Not Ranked,2,0,0
